DATE,REVOLNS
1987-05-01,145.4720
1987-06-01,148.4210
1987-07-01,150.6700
1987-08-01,152.7730
1987-09-01,155.3650
1987-10-01,156.7430
1987-11-01,158.4970
1987-12-01,169.6390
1988-01-01,168.3340
1988-02-01,165.7220
1988-03-01,165.3790
1988-04-01,167.1840
1988-05-01,168.6060
1988-06-01,171.3710
1988-07-01,172.1630
1988-08-01,174.7940
1988-09-01,176.3660
1988-10-01,178.4310
1988-11-01,183.6710
1988-12-01,194.4599
1989-01-01,189.6100
1989-02-01,187.3010
1989-03-01,188.4710
1989-04-01,190.7970
1989-05-01,192.7200
1989-06-01,195.8930
1989-07-01,197.4180
1989-08-01,200.7950
1989-09-01,202.0750
1989-10-01,203.5160
1989-11-01,208.4160
1989-12-01,222.2950
1990-01-01,217.9010
1990-02-01,216.0620
1990-03-01,214.9200
1990-04-01,217.0450
1990-05-01,220.5060
1990-06-01,223.5200
1990-07-01,227.1190
1990-08-01,231.2410
1990-09-01,233.6530
1990-10-01,234.7340
1990-11-01,240.2210
1990-12-01,250.9090
1991-01-01,243.3700
1991-02-01,241.8180
1991-03-01,243.9070
1991-04-01,245.6460
1991-05-01,247.8510
1991-06-01,249.6750
1991-07-01,250.9280
1991-08-01,254.6090
1991-09-01,257.7520
1991-10-01,259.9640
1991-11-01,263.9030
1991-12-01,277.0890
1992-01-01,270.4200
1992-02-01,265.9610
1992-03-01,263.7390
1992-04-01,264.5240
1992-05-01,265.5140
1992-06-01,267.8160
1992-07-01,267.7400
1992-08-01,270.5980
1992-09-01,272.1580
1992-10-01,274.0
1992-11-01,276.7540
1992-12-01,292.2580
1993-01-01,286.1620
1993-02-01,283.0500
1993-03-01,281.7670
1993-04-01,283.4500
1993-05-01,285.0780
1993-06-01,286.8640
1993-07-01,290.8050
1993-08-01,294.5640
1993-09-01,298.2880
1993-10-01,300.5030
1993-11-01,308.1360
1993-12-01,325.0110
1994-01-01,318.0800
1994-02-01,314.9940
1994-03-01,316.4
1994-04-01,321.0440
1994-05-01,325.3830
1994-06-01,331.2470
1994-07-01,335.9410
1994-08-01,345.6150
1994-09-01,348.6250
1994-10-01,351.5180
1994-11-01,364.5450
1994-12-01,383.1870
1995-01-01,378.4
1995-02-01,377.7790
1995-03-01,381.5730
1995-04-01,385.0530
1995-05-01,393.7820
1995-06-01,401.7540
1995-07-01,404.2680
1995-08-01,415.1010
1995-09-01,427.0900
1995-10-01,431.9950
1995-11-01,439.08711
1995-12-01,464.94747
1996-01-01,455.58068
1996-02-01,454.50066
1996-03-01,456.18759
1996-04-01,461.71192
1996-05-01,467.9398
1996-06-01,471.72868
1996-07-01,476.12763
1996-08-01,482.05218
1996-09-01,484.73033
1996-10-01,488.97149
1996-11-01,499.31217
1996-12-01,524.41677
1997-01-01,515.15075
1997-02-01,510.42334
1997-03-01,505.69911
1997-04-01,507.88365
1997-05-01,511.84016
1997-06-01,513.92178
1997-07-01,517.84816
1997-08-01,523.8580
1997-09-01,527.69619
1997-10-01,531.07792
1997-11-01,536.65637
1997-12-01,555.53287
1998-01-01,543.79425
1998-02-01,537.95263
1998-03-01,535.46698
1998-04-01,557.2988
